sample,project,language,files,loc,features,variability_impl_technology,Method,recall,precision,fmeasure,performance
SPL,BattleOfTanks,Java,11,1975,132,Antenna,LSI,0.9924242424242424,0.2582972582972582,0.40990813820349425,139.32101583480835
SPL,BattleOfTanks,Java,11,1975,132,Antenna,NN,0.9923664122137404,0.967239185750636,0.979641700873879,11.041264057159424
SPL,BattleOfTanks,Java,11,1975,132,Antenna,EB,0.9923076923076923,0.9737179487179487,0.9829249329086303,15.999905109405518
SPL,Prop4J,Java,22,2051,14,FeatureHouse,BM25,0.9,0.24861111111111112,0.3896009673518742,0.6859350204467773
SPL,Prop4J,Java,22,2051,14,FeatureHouse,CV,0.9090909090909091,0.22046959279579595,0.3548759047556277,0.10219907760620117
SPL,Prop4J,Java,22,2051,14,FeatureHouse,LSI,0.7142857142857143,0.046043568942728604,0.08651057970797389,6.157644987106323
SPL,Prop4J,Java,22,2051,14,FeatureHouse,NN,0.9,0.24135854341736693,0.38063882787478676,2.204713821411133
SPL,Prop4J,Java,22,2051,14,FeatureHouse,EB,0.75,0.4166666666666667,0.5357142857142857,2.6575889587402344
SPL,EmailSystem_Java,Java,39,1233,8,FeatureHouse,BM25,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.4503650665283203
SPL,EmailSystem_Java,Java,39,1233,8,FeatureHouse,CV,0.8467261904761905,0.3837301587301587,0.5281201168688067,0.21389198303222656
SPL,EmailSystem_Java,Java,39,1233,8,FeatureHouse,LSI,0.9092261904761905,0.1727446413347948,0.29032936480019567,3.5442960262298584
SPL,EmailSystem_Java,Java,39,1233,8,FeatureHouse,NN,0.7842261904761905,0.3712301587301587,0.5039193620265998,1.3621189594268799
SPL,EmailSystem_Java,Java,39,1233,8,FeatureHouse,EB,0.5416666666666666,0.43333333333333335,0.4814814814814815,1.8024649620056152
SPL,DesktopSearcher,Java,74,3779,15,AHEAD,BM25,0.6474358974358974,0.358004158004158,0.4610612876801663,6.94300103187561
SPL,DesktopSearcher,Java,74,3779,15,AHEAD,CV,0.7083333333333333,0.3313271748709338,0.4514744579566815,6.750264883041382
SPL,DesktopSearcher,Java,74,3779,15,AHEAD,LSI,0.7333333333333333,0.1229355638204743,0.2105711117181626,45.2712287902832
SPL,DesktopSearcher,Java,74,3779,15,AHEAD,NN,0.5897435897435896,0.3765160765160766,0.4596030452565561,14.65543794631958
SPL,DesktopSearcher,Java,74,3779,15,AHEAD,EB,0.4930555555555555,0.3625,0.41781655844155846,15.389613151550293
SPL,Graph_Product_Line,Java,67,1350,26,FeatureHouse,BM25,0.6553030303030304,0.2051166157248433,0.31243717056092796,6.278371095657349
SPL,Graph_Product_Line,Java,67,1350,26,FeatureHouse,CV,0.662878787878788,0.20159120033131891,0.3091617577131575,6.4149839878082275
SPL,Graph_Product_Line,Java,67,1350,26,FeatureHouse,LSI,0.6442307692307693,0.04720733153974717,0.0879685845408075,58.3563449382782
SPL,Graph_Product_Line,Java,67,1350,26,FeatureHouse,NN,0.4958333333333333,0.23665187915187916,0.32038842035146825,13.562166929244995
SPL,Graph_Product_Line,Java,67,1350,26,FeatureHouse,EB,0.467948717948718,0.34487179487179487,0.39709212974197206,13.91984486579895
SPL,Elevator_C,C,19,877,5,FeatureHouse,BM25,0.875,0.49999999999999994,0.6363636363636362,0.056294918060302734
SPL,Elevator_C,C,19,877,5,FeatureHouse,CV,0.875,0.49999999999999994,0.6363636363636362,0.006448984146118164
SPL,Elevator_C,C,19,877,5,FeatureHouse,LSI,1.0,0.28661616161616166,0.44553483807654565,1.1103670597076416
SPL,Elevator_C,C,19,877,5,FeatureHouse,EB,0.625,0.41666666666666663,0.5,0.1502230167388916
SPL,Elevator_C,C,19,877,5,FeatureHouse,NN,0.875,0.49999999999999994,0.6363636363636362,0.2281498908996582
SPL,MinePump_Java,Java,24,580,6,FeatureHouse,BM25,0.75,0.23769841269841271,0.3609883487344315,0.008030891418457031
SPL,MinePump_Java,Java,24,580,6,FeatureHouse,CV,0.75,0.24166666666666667,0.36554621848739494,0.008060932159423828
SPL,MinePump_Java,Java,24,580,6,FeatureHouse,LSI,1.0,0.10938958916900093,0.1972068067646827,1.1407370567321777
SPL,MinePump_Java,Java,24,580,6,FeatureHouse,EB,0.5,0.21666666666666665,0.3023255813953488,0.32158398628234863
SPL,MinePump_Java,Java,24,580,6,FeatureHouse,NN,0.75,0.23769841269841271,0.3609883487344315,0.3371567726135254
SPL,Chat_HyperJ,Java,39,758,3,Hyper/J,BM25,1.0,0.3296296296296296,0.4958217270194986,0.2921130657196045
SPL,Chat_HyperJ,Java,39,758,3,Hyper/J,CV,1.0,0.28454106280193237,0.4430236931177134,0.08155703544616699
SPL,Chat_HyperJ,Java,39,758,3,Hyper/J,LSI,1.0,0.0805728088336784,0.14912980999520997,2.7448160648345947
SPL,Chat_HyperJ,Java,39,758,3,Hyper/J,NN,0.6666666666666666,0.25555555555555554,0.3694779116465863,0.9333021640777588
SPL,Chat_HyperJ,Java,39,758,3,Hyper/J,EB,0.75,0.55,0.6346153846153847,0.9078629016876221
SPL,Email_JML,Java,17,1233,8,FeatureHouse,BM25,0.875,0.32222222222222224,0.4709976798143852,0.0308988094329834
SPL,Email_JML,Java,17,1233,8,FeatureHouse,CV,0.875,0.3261904761904762,0.47522299306243804,0.054724931716918945
SPL,Email_JML,Java,17,1233,8,FeatureHouse,LSI,0.875,0.1423160173160173,0.244813829787234,1.2105841636657715
SPL,Email_JML,Java,17,1233,8,FeatureHouse,EB,0.8,0.3466666666666667,0.4837209302325582,0.17337489128112793
SPL,Email_JML,Java,17,1233,8,FeatureHouse,NN,0.75,0.30833333333333335,0.43700787401574803,0.5895969867706299
Preprocessor,privoxy-3.0.26,C,69,30687,168,Preprocessor,CV,0.5505747126436781,0.06290795920269447,0.11291445757312968,123.41671109199524
Preprocessor,privoxy-3.0.26,C,69,30687,168,Preprocessor,BM25,0.9920091324200914,0.12784253930520653,0.22649600782780954,123.45571994781494
Preprocessor,privoxy-3.0.26,C,69,30687,168,Preprocessor,NN,0.5218068535825545,0.13816164252362145,0.21847616180591176,275.89318585395813
Preprocessor,privoxy-3.0.26,C,69,30687,168,Preprocessor,EB,0.7555555555555555,0.4552380952380952,0.5681524209054362,283.80319380760193
Preprocessor,lighttpd-1.4.35,C,133,40035,216,Preprocessor,BM25,0.9704433497536946,0.07705010444994864,0.14276511449539547,438.49516105651855
Preprocessor,lighttpd-1.4.35,C,133,40035,216,Preprocessor,CV,0.47783251231527096,0.040429010308711814,0.07455037552632619,440.6623749732971
Preprocessor,lighttpd-1.4.35,C,133,40035,216,Preprocessor,NN,0.5987654320987654,0.15348380950636775,0.2443360376758877,1022.2747712135315
Preprocessor,lighttpd-1.4.35,C,133,40035,216,Preprocessor,EB,0.5925925925925926,0.27820399764844206,0.37864555301136504,1042.0494310855865
Preprocessor,xfig-3.2.6,C,246,73143,162,Preprocessor,EB,0.84375,0.5567912411662413,0.6708729395827234,2408.984372854233
Preprocessor,xfig-3.2.6,C,246,73143,162,Preprocessor,CV,0.7202797202797203,0.2868869031522185,0.41033690661882655,1186.9336240291595
Preprocessor,xfig-3.2.6,C,246,73143,162,Preprocessor,NN,0.7835820895522388,0.3599257112117632,0.493274012973865,2384.5865721702576
Preprocessor,xfig-3.2.6,C,246,73143,162,Preprocessor,BM25,0.965034965034965,0.30241267716128,0.46051418238431535,1176.745876789093
Preprocessor,irssi-1.0.3,C,319,55138,159,Preprocessor,CV,0.7755102040816326,0.19865664956153462,0.31629131758586937,1231.0102829933167
Preprocessor,irssi-1.0.3,C,319,55138,159,Preprocessor,EB,0.8484848484848485,0.5751033057851239,0.6855443968237563,2389.3348858356476
Preprocessor,irssi-1.0.3,C,319,55138,159,Preprocessor,NN,0.7111111111111111,0.3671496128623099,0.48426908880521774,2374.1458201408386
Preprocessor,irssi-1.0.3,C,319,55138,159,Preprocessor,BM25,0.9795918367346939,0.20974546572180786,0.3455116485269983,1224.4734189510345
Preprocessor,xterm-3.3.0,C,66,71817,551,Preprocessor,NN,0.5970886075949366,0.3312799306010979,0.4261313569956171,2828.0788629055023
Preprocessor,xterm-3.3.0,C,66,71817,551,Preprocessor,CV,0.5079218106995884,0.2276756497404299,0.3144149741876223,1619.7845649719238
Preprocessor,xterm-3.3.0,C,66,71817,551,Preprocessor,EB,0.8528708133971292,0.6322282980177716,0.7261590268805399,2902.683488845825
Preprocessor,xterm-3.3.0,C,66,71817,551,Preprocessor,BM25,0.9770576131687243,0.27655255291470726,0.43108740592101746,1615.5533919334412
Preprocessor,openvpn-2.4.3,C,206,79189,466,Preprocessor,EB,0.5104895104895105,0.27311350265895723,0.3558474787386525,4159.605982065201
Preprocessor,openvpn-2.4.3,C,206,79189,466,Preprocessor,CV,0.43400447427293065,0.03159058654628498,0.05889433569965433,2961.839851140976
Preprocessor,openvpn-2.4.3,C,206,79189,466,Preprocessor,NN,0.49544072948328266,0.15245524907166766,0.23316255174816278,4151.543552875519
Preprocessor,openvpn-2.4.3,C,206,79189,466,Preprocessor,BM25,0.9397321428571429,0.11303170553784155,0.20179174468768638,2958.706792116165
Preprocessor,gnuplot-4.4.2,C,173,79123,490,Preprocessor,EB,0.8081236232561244,0.5418720037203448,0.64874220069629,4903.654846191406
Preprocessor,gnuplot-4.4.2,C,173,79123,490,Preprocessor,NN,0.6309237779618889,0.2717622743151464,0.3798912819931458,4880.359623908997
Preprocessor,gnuplot-4.4.2,C,173,79123,490,Preprocessor,CV,0.606859216975864,0.18425347928816177,0.28268013569731665,3574.6470141410828
Preprocessor,gnuplot-4.4.2,C,173,79123,490,Preprocessor,BM25,0.9631187572864479,0.2178636036365011,0.35534573611810966,3564.75932598114
Preprocessor,cherokee-1.2.103,C,340,61182,432,Preprocessor,BM25,0.9827160493827161,0.133187465129186,0.23458203663118926,3803.962783098221
Preprocessor,cherokee-1.2.103,C,340,61182,432,Preprocessor,NN,0.5487804878048781,0.19718933794464324,0.29012878894519206,5115.527229070663
Preprocessor,cherokee-1.2.103,C,340,61182,432,Preprocessor,CV,0.3488943488943489,0.04358734646758216,0.07749344260152481,3833.004231929779
Preprocessor,cherokee-1.2.103,C,340,61182,432,Preprocessor,EB,0.6488095238095238,0.281870322915491,0.39300335261449254,5125.451067209244
Preprocessor,emacs-25.2,C,206,50294,374,Preprocessor,EB,0.8037825059101655,0.5042607707501326,0.6197287095585823,7189.206321001053
Preprocessor,emacs-25.2,C,206,50294,374,Preprocessor,BM25,0.9658981748318924,0.19162215542018235,0.3197999816338441,5180.327360153198
Preprocessor,emacs-25.2,C,206,50294,374,Preprocessor,NN,0.7610062893081762,0.3072658662088651,0.43777469152792275,7169.444542169571
Preprocessor,emacs-25.2,C,206,50294,374,Preprocessor,CV,0.4576190476190476,0.09395607709523936,0.1559029354002032,5201.979104042053
Preprocessor,sqlite-3.19.3,C,11,267156,571,Preprocessor,EB,1.0,0.5416666666666666,0.7027027027027027,839.8442771434784
Preprocessor,sqlite-3.19.3,C,11,267156,571,Preprocessor,NN,0.8125,0.3338955026455028,0.47329232411226824,725.0031449794769
Preprocessor,sqlite-3.19.3,C,11,267156,571,Preprocessor,BM25,0.9923954372623575,0.25304182509505724,0.40326006014232896,388.97301602363586
Preprocessor,sqlite-3.19.3,C,11,267156,571,Preprocessor,CV,0.20961538461538462,0.08110812798312797,0.11696000292963023,390.3488209247589
Preprocessor,berkeley_db-5.3.21,C,408,137037,361,Preprocessor,BM25,0.9663608562691132,0.13527844819696233,0.23733321152286302,5892.97006893158
Preprocessor,berkeley_db-5.3.21,C,408,137037,361,Preprocessor,EB,0.7718120805369127,0.44926453114372594,0.5679378168028796,8691.900171995163
Preprocessor,berkeley_db-5.3.21,C,408,137037,361,Preprocessor,NN,0.5825242718446602,0.2915626273390915,0.388616526220503,8706.531965017319
Preprocessor,berkeley_db-5.3.21,C,408,137037,361,Preprocessor,CV,0.5258358662613982,0.11184765617300045,0.18445986795616826,5911.974368095398
Preprocessor,sendmail-8.15.2,C,245,93613,961,Preprocessor,BM25,0.997828447339848,0.1883641923311028,0.31690493311492385,6369.699273109436
Preprocessor,sendmail-8.15.2,C,245,93613,961,Preprocessor,NN,0.6819148936170213,0.27173140240495197,0.3886088398525218,9139.405678033829
Preprocessor,sendmail-8.15.2,C,245,93613,961,Preprocessor,CV,0.6039603960396039,0.1689857968546604,0.26408236364098425,6387.347617864609
Preprocessor,sendmail-8.15.2,C,245,93613,961,Preprocessor,EB,0.8550469483568075,0.43259508488381726,0.5745216413495876,9156.827053070068
Preprocessor,dia_0.97.3,C,590,154962,291,Preprocessor,CV,0.4111111111111111,0.03804049462223703,0.0696373777216265,7716.777685165405
Preprocessor,dia_0.97.3,C,590,154962,291,Preprocessor,EB,0.8095238095238095,0.29477758039788116,0.43218177940141095,10578.606365919113
Preprocessor,dia_0.97.3,C,590,154962,291,Preprocessor,BM25,0.9555555555555556,0.0700326522523819,0.13050089581877483,7695.612854003906
Preprocessor,dia_0.97.3,C,590,154962,291,Preprocessor,NN,0.5425531914893617,0.13965889889216157,0.22213731589382144,10561.46441602707
Preprocessor,lynx-2.8.9,C,214,132804,912,Preprocessor,BM25,0.9712973593570609,0.12065496434714473,0.21464645611294583,8635.889549970627
Preprocessor,lynx-2.8.9,C,214,132804,912,Preprocessor,NN,0.6308623298033282,0.19381182390894,0.2965257931856713,11470.212023973465
Preprocessor,lynx-2.8.9,C,214,132804,912,Preprocessor,EB,0.7409470752089137,0.3261367076130307,0.4529167128472084,11496.799811840057
Preprocessor,lynx-2.8.9,C,214,132804,912,Preprocessor,CV,0.5424311926605505,0.0923273977873395,0.1577962433299058,8658.56028008461
Preprocessor,sylpheed-3.5.1,C,303,119488,296,Preprocessor,NN,0.6434782608695652,0.3088114583893054,0.41733824520461094,7318.649733781815
Preprocessor,sylpheed-3.5.1,C,303,119488,296,Preprocessor,EB,0.8,0.5227163685987216,0.6322944280518545,7422.068950891495
Preprocessor,sylpheed-3.5.1,C,303,119488,296,Preprocessor,BM25,0.94,0.26447011639313955,0.4127988001130406,3259.415093898773
Preprocessor,sylpheed-3.5.1,C,303,119488,296,Preprocessor,CV,0.625,0.16926720048762584,0.26638894377060285,3284.7681221961975
Preprocessor,parrot-4.6.2,C,241,101507,413,Preprocessor,BM25,0.9603825136612022,0.1277590644907986,0.22551766049975783,5126.825192928314
Preprocessor,parrot-4.6.2,C,241,101507,413,Preprocessor,EB,0.737037037037037,0.46437397992953566,0.5697647473027697,11287.881217956543
Preprocessor,parrot-4.6.2,C,241,101507,413,Preprocessor,CV,0.4501466275659824,0.1284885370345553,0.19991416065050588,5132.000488996506
Preprocessor,parrot-4.6.2,C,241,101507,413,Preprocessor,NN,0.6541850220264317,0.29076689064247213,0.40259264457651006,11148.852979898453
Preprocessor,vim-7.4,C,177,304992,1050,Preprocessor,BM25,0.9528497409326425,0.11864010471291153,0.21100749297686708,23977.38519501686
Preprocessor,vim-7.4,C,177,304992,1050,Preprocessor,CV,0.43808049535603716,0.10151677131195505,0.1648359627093894,23973.50195002556
Preprocessor,vim-7.4,C,177,304992,1050,Preprocessor,NN,0.5160060975609756,0.22121065835692194,0.30966753710183376,43206.91521000862
Preprocessor,vim-7.4,C,177,304992,1050,Preprocessor,EB,0.6801346801346801,0.40940468996024554,0.5111340360789158,43568.84113788605
Preprocessor,subversion-1.9.5,C,809,156778,280,Preprocessor,CV,0.3277310924369748,0.06980894346142402,0.11510066527402882,17812.912312984467
Preprocessor,subversion-1.9.5,C,809,156778,280,Preprocessor,NN,0.5806451612903226,0.2253164468161036,0.3246529444752983,26472.340319871902
Preprocessor,subversion-1.9.5,C,809,156778,280,Preprocessor,EB,0.8378378378378378,0.33696667446667433,0.48063048277667164,26469.834973096848
Preprocessor,subversion-1.9.5,C,809,156778,280,Preprocessor,BM25,0.9585062240663901,0.0839021217500645,0.15429789339766703,17782.744124889374
Preprocessor,gnumeric-1.8.4,C,539,248311,506,Preprocessor,NN,0.636986301369863,0.4125423203545496,0.5007653938382788,27854.388098955154
Preprocessor,gnumeric-1.8.4,C,539,248311,506,Preprocessor,CV,0.4397463002114165,0.20384753800462665,0.27856450861373755,18973.817081928253
Preprocessor,gnumeric-1.8.4,C,539,248311,506,Preprocessor,EB,0.8970588235294118,0.6634550702565407,0.7627720934224381,27834.554446935654
Preprocessor,gnumeric-1.8.4,C,539,248311,506,Preprocessor,BM25,0.9722222222222222,0.06772682810674077,0.1266322178094577,18813.61187005043
Preprocessor,libxml2-2.9.3,C,159,242524,2171,Preprocessor,NN,0.919917864476386,0.17303898626745642,0.2912862563787063,28022.520940065384
Preprocessor,libxml2-2.9.3,C,159,242524,2171,Preprocessor,BM25,0.9966068831798351,0.15861337113275292,0.27367106289063764,19105.471286058426
Preprocessor,libxml2-2.9.3,C,159,242524,2171,Preprocessor,EB,0.9720071471113758,0.1991179986713044,0.3305267904527367,28134.185882806778
Preprocessor,libxml2-2.9.3,C,159,242524,2171,Preprocessor,CV,0.8933591856519632,0.1519139412720892,0.2596712980910194,19174.421117067337
Preprocessor,openldap-2.4.45,C,668,285946,951,Preprocessor,BM25,0.9776444929116684,0.09796350572616155,0.17808250217698615,44958.49232888222
Preprocessor,openldap-2.4.45,C,668,285946,951,Preprocessor,EB,0.6983471074380165,0.4178678194311589,0.522868447584169,71812.40983891487
Preprocessor,openldap-2.4.45,C,668,285946,951,Preprocessor,CV,0.42039258451472195,0.07246784175594649,0.12362503323914886,45049.501292943954
Preprocessor,openldap-2.4.45,C,668,285946,951,Preprocessor,NN,0.5739371534195934,0.2835017653616587,0.37953069924182126,71849.15457201004
