projectandfeature,methodname,totaltraces,truetraces,precision,recall
openvpn-2.4.3-openvpn_comp_h,BM25,1,1,1.0,1.0
openvpn-2.4.3-unix_sock_support,BM25,57,1,0.017543859649122806,1.0
openvpn-2.4.3-have_strings_h,BM25,23,1,0.043478260869565216,1.0
openvpn-2.4.3-product_tap_debug,BM25,84,1,0.011904761904761904,1.0
openvpn-2.4.3-have_evp_md_ctx_reset,BM25,128,1,0.0078125,1.0
openvpn-2.4.3-enable_performance_metrics,BM25,92,1,0.010869565217391304,1.0
openvpn-2.4.3-_inc_versionhelpers,BM25,4,1,0.25,1.0
openvpn-2.4.3-epoll,BM25,2,1,0.0,0.0
openvpn-2.4.3-have_decl_so_mark,BM25,39,1,0.02564102564102564,1.0
openvpn-2.4.3-have_grp_h,BM25,6,1,0.16666666666666666,1.0
openvpn-2.4.3-_service_h,BM25,31,1,0.03225806451612903,1.0
openvpn-2.4.3-have_x509_store_get0_objects,BM25,58,1,0.017241379310344827,1.0
openvpn-2.4.3-have_evp_cipher_ctx_new,BM25,109,1,0.009174311926605505,1.0
openvpn-2.4.3-fwpm_session_flag_dynamic,BM25,103,1,0.009708737864077669,1.0
openvpn-2.4.3-have_getgrnam,BM25,1,1,0.0,0.0
openvpn-2.4.3-have_evp_cipher_ctx_free,BM25,50,1,0.02,1.0
openvpn-2.4.3-target_openbsd,BM25,20,1,0.05,1.0
openvpn-2.4.3-have_netinet_ip_h,BM25,4,1,0.25,1.0
openvpn-2.4.3-mtu_h,BM25,33,1,0.030303030303030304,1.0
openvpn-2.4.3-have_rsa_meth_set_pub_enc,BM25,147,1,0.006802721088435374,1.0
openvpn-2.4.3-lz4_deprecate_warning_defblock,BM25,42,1,0.023809523809523808,1.0
openvpn-2.4.3-interval_debug,BM25,75,1,0.013333333333333334,1.0
openvpn-2.4.3-basic_h,Classic vector model,34,1,0.029411764705882353,1.0
openvpn-2.4.3-misc_h,BM25,51,1,0.0196078431372549,1.0
openvpn-2.4.3-ssl_op_no_tlsv1_2,Classic vector model,44,1,0.0,0.0
openvpn-2.4.3-lz4_gcc_version,BM25,12,1,0.08333333333333333,1.0
openvpn-2.4.3-enable_crypto_openssl,BM25,117,1,0.008547008547008548,1.0
openvpn-2.4.3-mtcp_h,Classic vector model,7,1,0.14285714285714285,1.0
openvpn-2.4.3-have_linux_if_tun_h,BM25,13,1,0.07692307692307693,1.0
openvpn-2.4.3-have_direct_h,Classic vector model,172,1,0.0,0.0
openvpn-2.4.3-have_strerror,BM25,19,1,0.05263157894736842,1.0
openvpn-2.4.3-have_getsockopt,Classic vector model,188,1,0.005319148936170213,1.0
openvpn-2.4.3-have_inttypes_h,BM25,3,1,0.3333333333333333,1.0
openvpn-2.4.3-have_dirname,Classic vector model,188,1,0.0,0.0
openvpn-2.4.3-syshead_h,BM25,71,1,0.014084507042253521,1.0
openvpn-2.4.3-enable_client_only,Classic vector model,130,1,0.007692307692307693,1.0
openvpn-2.4.3-if_namesize,BM25,2,1,0.5,1.0
openvpn-2.4.3-have_libgen_h,Classic vector model,190,1,0.0,0.0
openvpn-2.4.3-have_aead_cipher_modes,Classic vector model,180,1,0.0,0.0
openvpn-2.4.3-fd_setsize,Classic vector model,93,1,0.0,0.0
openvpn-2.4.3-abort_on_error,BM25,115,1,0.008695652173913044,1.0
openvpn-2.4.3-have_rsa_bits,Classic vector model,181,1,0.0055248618784530384,1.0
openvpn-2.4.3-openssl_compat_h_,Classic vector model,50,1,0.02,1.0
openvpn-2.4.3-enable_memstats,Classic vector model,90,1,0.0,0.0
openvpn-2.4.3-have_stdarg_h,Classic vector model,192,1,0.0,0.0
openvpn-2.4.3-prng_test,BM25,66,1,0.015151515151515152,1.0
openvpn-2.4.3-argv_test,Classic vector model,79,1,0.0,0.0
openvpn-2.4.3-have_ssl_ctx_get_default_passwd_cb_userdata,BM25,131,1,0.007633587786259542,1.0
openvpn-2.4.3-forward_inline_h,Classic vector model,87,1,0.0,0.0
openvpn-2.4.3-have_signal_h,BM25,46,1,0.021739130434782608,1.0
openvpn-2.4.3-forward_h,BM25,35,1,0.02857142857142857,1.0
openvpn-2.4.3-cmsg_nxthdr,BM25,4,1,0.0,0.0
openvpn-2.4.3-have_linux_errqueue_h,Classic vector model,185,1,0.0,0.0
openvpn-2.4.3-ssl_verify_openssl_h_,BM25,63,1,0.015873015873015872,1.0
openvpn-2.4.3-need_compat_lz4,BM25,86,1,0.011627906976744186,1.0
openvpn-2.4.3-have_inet_ntop,Classic vector model,182,1,0.0,0.0
openvpn-2.4.3-extract_x509_field_test,Classic vector model,96,1,0.0,0.0
openvpn-2.4.3-have_rsa_meth_set_finish,Classic vector model,155,1,0.0064516129032258064,1.0
openvpn-2.4.3-have_rsa_get0_key,BM25,14,1,0.07142857142857142,1.0
openvpn-2.4.3-have_nice,BM25,8,1,0.125,1.0
openvpn-2.4.3-have_evp_md_ctx_free,Classic vector model,136,1,0.007352941176470588,1.0
openvpn-2.4.3-etimedout,BM25,3,1,0.0,0.0
openvpn-2.4.3-have_x509_get0_pubkey,Classic vector model,187,1,0.0053475935828877,1.0
openvpn-2.4.3-packet_truncation_check,BM25,93,1,0.010752688172043012,1.0
openvpn-2.4.3-pull_defined,Classic vector model,124,1,0.0,0.0
openvpn-2.4.3-evp_ciph_flag_aead_cipher,BM25,106,1,0.009433962264150943,1.0
openvpn-2.4.3-helper_h,BM25,24,1,0.041666666666666664,1.0
openvpn-2.4.3-enable_plugin,Classic vector model,94,1,0.0,0.0
openvpn-2.4.3-have_iovec,Classic vector model,188,1,0.005319148936170213,1.0
openvpn-2.4.3-connect_nonblock,BM25,52,1,0.019230769230769232,1.0
openvpn-2.4.3-have_ipi_spec_dst,Classic vector model,162,1,0.006172839506172839,1.0
openvpn-2.4.3-have_dsa_bits,BM25,41,1,0.024390243902439025,1.0
openvpn-2.4.3-have_gettimeofday,Classic vector model,185,1,0.0,0.0
openvpn-2.4.3-have_setuid,BM25,2,1,0.0,0.0
openvpn-2.4.3-have_dup2,BM25,5,1,0.2,1.0
openvpn-2.4.3-console_h,Classic vector model,14,1,0.07142857142857142,1.0
openvpn-2.4.3-openvpn_win32_h,BM25,43,1,0.023255813953488372,1.0
openvpn-2.4.3-mroute_h,Classic vector model,11,1,0.09090909090909091,1.0
openvpn-2.4.3-have_rsa_meth_set_priv_dec,BM25,112,1,0.008928571428571428,1.0
openvpn-2.4.3-have_lzo1x_h,Classic vector model,189,1,0.0,0.0
openvpn-2.4.3-ipproto_ip,BM25,11,1,0.09090909090909091,1.0
openvpn-2.4.3-tunnewppa,Classic vector model,1,1,1.0,1.0
openvpn-2.4.3-_win64,Classic vector model,2,1,0.5,1.0
openvpn-2.4.3-have_linux_types_h,BM25,39,1,0.02564102564102564,1.0
openvpn-2.4.3-enable_client_cr,Classic vector model,143,1,0.006993006993006993,1.0
openvpn-2.4.3-have_getsockname,BM25,5,1,0.2,1.0
openvpn-2.4.3-status_printf_test,BM25,122,1,0.00819672131147541,1.0
openvpn-2.4.3-auto_userid,BM25,5,1,0.2,1.0
openvpn-2.4.3-use_64_bit_counters,BM25,84,1,0.011904761904761904,1.0
openvpn-2.4.3-lock_ex,BM25,52,1,0.019230769230769232,1.0
openvpn-2.4.3-verify_alignment,BM25,52,1,0.019230769230769232,1.0
openvpn-2.4.3-use_pam_dlopen,Classic vector model,193,1,0.0051813471502590676,1.0
openvpn-2.4.3-plugin_def_auth,BM25,29,1,0.034482758620689655,1.0
openvpn-2.4.3-management_pf,Classic vector model,49,1,0.0,0.0
openvpn-2.4.3-interval_h,BM25,34,1,0.029411764705882353,1.0
openvpn-2.4.3-msg_nosignal,Classic vector model,113,1,0.008849557522123894,1.0
openvpn-2.4.3-_cryptoapi_h_,BM25,9,1,0.1111111111111111,1.0
openvpn-2.4.3-debug_verbose_setenv,Classic vector model,64,1,0.015625,1.0
openvpn-2.4.3-have_sendmsg,BM25,4,1,0.0,0.0
openvpn-2.4.3-list_h,Classic vector model,73,1,0.0,0.0
openvpn-2.4.3-compat_h,BM25,35,1,0.02857142857142857,1.0
openvpn-2.4.3-have_sys_sockio_h,Classic vector model,168,1,0.0,0.0
openvpn-2.4.3-select_preferred_over_poll,Classic vector model,174,1,0.0,0.0
openvpn-2.4.3-init_h,BM25,113,1,0.008849557522123894,1.0
openvpn-2.4.3-ip_recverr,Classic vector model,194,1,0.005154639175257732,1.0
