project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
berkeley_db-5.3.21,c,408,137037,361,preprocessor,BM25,0.9663608562691132,0.13527844819696233,0.23733321152286302,5892.97006893158
berkeley_db-5.3.21,c,408,137037,361,preprocessor,Extended boolean,0.7718120805369127,0.44926453114372594,0.5679378168028796,8691.900171995163
berkeley_db-5.3.21,c,408,137037,361,preprocessor,Neural networks,0.5825242718446602,0.2915626273390915,0.388616526220503,8706.531965017319
berkeley_db-5.3.21,c,408,137037,361,preprocessor,Classic vector model,0.5258358662613982,0.11184765617300045,0.18445986795616826,5911.974368095398
sendmail-8.15.2,c,245,93613,961,preprocessor,BM25,0.997828447339848,0.1883641923311028,0.31690493311492385,6369.699273109436
sendmail-8.15.2,c,245,93613,961,preprocessor,Neural networks,0.6819148936170213,0.27173140240495197,0.3886088398525218,9139.405678033829
sendmail-8.15.2,c,245,93613,961,preprocessor,Classic vector model,0.6039603960396039,0.1689857968546604,0.26408236364098425,6387.347617864609
sendmail-8.15.2,c,245,93613,961,preprocessor,Extended boolean,0.8550469483568075,0.43259508488381726,0.5745216413495876,9156.827053070068
dia_0.97.3,c,590,154962,291,preprocessor,Classic vector model,0.4111111111111111,0.03804049462223703,0.0696373777216265,7716.777685165405
dia_0.97.3,c,590,154962,291,preprocessor,Extended boolean,0.8095238095238095,0.29477758039788116,0.43218177940141095,10578.606365919113
dia_0.97.3,c,590,154962,291,preprocessor,BM25,0.9555555555555556,0.0700326522523819,0.13050089581877483,7695.612854003906
dia_0.97.3,c,590,154962,291,preprocessor,Neural networks,0.5425531914893617,0.13965889889216157,0.22213731589382144,10561.46441602707
lynx-2.8.9,c,214,132804,912,preprocessor,BM25,0.9712973593570609,0.12065496434714473,0.21464645611294583,8635.889549970627
lynx-2.8.9,c,214,132804,912,preprocessor,Neural networks,0.6308623298033282,0.19381182390894,0.2965257931856713,11470.212023973465
lynx-2.8.9,c,214,132804,912,preprocessor,Extended boolean,0.7409470752089137,0.3261367076130307,0.4529167128472084,11496.799811840057
lynx-2.8.9,c,214,132804,912,preprocessor,Classic vector model,0.5424311926605505,0.0923273977873395,0.1577962433299058,8658.56028008461
sylpheed-3.5.1,c,303,119488,296,preprocessor,Neural networks,0.6434782608695652,0.3088114583893054,0.41733824520461094,7318.649733781815
sylpheed-3.5.1,c,303,119488,296,preprocessor,Extended boolean,0.8,0.5227163685987216,0.6322944280518545,7422.068950891495
sylpheed-3.5.1,c,303,119488,296,preprocessor,BM25,0.94,0.26447011639313955,0.4127988001130406,3259.415093898773
sylpheed-3.5.1,c,303,119488,296,preprocessor,Classic vector model,0.625,0.16926720048762584,0.26638894377060285,3284.7681221961975
parrot-4.6.2,c,241,101507,413,preprocessor,BM25,0.9603825136612022,0.1277590644907986,0.22551766049975783,5126.825192928314
parrot-4.6.2,c,241,101507,413,preprocessor,Extended boolean,0.737037037037037,0.46437397992953566,0.5697647473027697,11287.881217956543
parrot-4.6.2,c,241,101507,413,preprocessor,Classic vector model,0.4501466275659824,0.1284885370345553,0.19991416065050588,5132.000488996506
parrot-4.6.2,c,241,101507,413,preprocessor,Neural networks,0.6541850220264317,0.29076689064247213,0.40259264457651006,11148.852979898453
vim-7.4,c,177,304992,1050,preprocessor,BM25,0.9528497409326425,0.11864010471291153,0.21100749297686708,23977.38519501686
vim-7.4,c,177,304992,1050,preprocessor,Classic vector model,0.43808049535603716,0.10151677131195505,0.1648359627093894,23973.50195002556
vim-7.4,c,177,304992,1050,preprocessor,Neural networks,0.5160060975609756,0.22121065835692194,0.30966753710183376,43206.91521000862
vim-7.4,c,177,304992,1050,preprocessor,Extended boolean,0.6801346801346801,0.40940468996024554,0.5111340360789158,43568.84113788605
